	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Taco1	39.3820455766559	0.0481969458307813	0.147604248151611	0.326528175403706	0.744024775549729	0.830462866828289
Golga3	199.635255432152	0.027240479262478	0.0834900642924675	0.326272107864883	0.744218489260587	0.83051427171875
4930453N24Rik	64.1538136269452	-0.0402364675921973	0.123350594994321	-0.326195974928616	0.744276086537799	0.830521798670083
Ccdc183	0.764887047061917	0.350193627414124	1.07425881430116	0.325986273281767	0.744434740695802	0.830558029313659
4930434J08Rik	0.862607880021271	0.348261973152131	1.0684475142299	0.325951409417753	0.744461118731488	0.830558029313659
Gm7476	1.08152721805895	0.347498246703161	1.06585803690246	0.326026764045464	0.74440410571825	0.830558029313659
Gm5586	2.26119128552534	0.222065790221	0.682140189963437	0.325542745447827	0.744770336657606	0.830697165566891
Zfp658	5.70946725389604	0.12253384082077	0.376305983926318	0.325622886838713	0.74470969397232	0.830697165566891
Mllt6	255.196272745961	-0.0248251296339514	0.0762750993323715	-0.325468335685476	0.744826643657886	0.830697165566891
Cdc14b	72.5184108404711	0.0412757784333503	0.12682659778044	0.325450490320698	0.744840147719909	0.830697165566891
Rpph1	9.44584195388537	-0.191266654670212	0.587467430365003	-0.325578312573643	0.744743422953658	0.830697165566891
Gm29514	0.820174927757479	0.348166039010833	1.07067663584203	0.325183185432096	0.745042433820316	0.83086603135223
Chmp4c	0.925034799114869	0.360662385464914	1.11020192781226	0.324861970088297	0.745285540548282	0.83108039384368
Pkd2l2	1.02714155406107	0.350325058190885	1.07894645923623	0.324691790952144	0.745414348205138	0.831167278957214
Akirin1	173.536343158441	-0.0267563540001526	0.0824547216103081	-0.324497536073272	0.745561387358917	0.831274479679535
Col24a1	1.92742837467895	0.222363094316517	0.685614368507854	0.324326771039614	0.745690653781122	0.831277976811022
Gm5454	3.82247021498183	-0.230320977809936	0.710227840965924	-0.324291677297098	0.745717220074595	0.831277976811022
Pasd1	2.3021984496764	0.259170967480615	0.799082087042257	0.324335849449356	0.745683781388706	0.831277976811022
Itpkc	19.1645652064607	0.0710946344471785	0.219437447792186	0.323985879176408	0.745948724923294	0.831479291253565
Arhgef4	3.50426481196898	0.23145090946839	0.715269396531146	0.323585645619484	0.746251756889942	0.83176030120293
C4a	2.80871076586473	-0.228630122351198	0.706732421395809	-0.323503090320448	0.746314267514062	0.831773209843023
Arhgap23	79.2707187457128	0.0371876501063171	0.115042514289374	0.323251367861942	0.746504881306962	0.831872115277381
Zfp740	200.455722661215	0.0229763183383478	0.0710745700457346	0.323270592049494	0.746490323475825	0.831872115277381
