sample,score,signature,n_genes,genotype,tnf,group,n_replicates,exploratory,condition
BD07,0.060497481858137483,sen_mitochondria,32,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD08,0.06407910210735296,sen_mitochondria,32,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD09,0.630588282802594,sen_mitochondria,32,DKO,basal,DKO_basal,2,FALSE,DKO
BD57,0.1832628436964539,sen_mitochondria,32,DKO,basal,DKO_basal,2,FALSE,DKO
BD12,-0.4161107616384895,sen_mitochondria,32,WT,TNF12h,WT_TNF12h,1,TRUE,WT_TNF
BD13,-0.1997137670649033,sen_mitochondria,32,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,PPM1D_KO_TNF
BD14,-0.6491905107999699,sen_mitochondria,32,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,PPM1B_KO_TNF
BD01,-0.45221997146510273,sen_ois,18,WT,basal,WT_basal,3,FALSE,WT
BD03,-0.3928505316198334,sen_ois,18,WT,basal,WT_basal,3,FALSE,WT
BD04,-0.016048530041265427,sen_ois,18,WT,basal,WT_basal,3,FALSE,WT
BD02,-0.40743356668662095,sen_ois,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD05,-0.27944888092541437,sen_ois,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD20,-0.2929009610505678,sen_ois,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD06,-0.2817267154329974,sen_ois,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD07,-0.2005711639653922,sen_ois,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD08,-0.32306521305963903,sen_ois,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD09,0.4208822988879656,sen_ois,18,DKO,basal,DKO_basal,2,FALSE,DKO
BD57,0.5831311783450117,sen_ois,18,DKO,basal,DKO_basal,2,FALSE,DKO
BD12,0.39495589234416717,sen_ois,18,WT,TNF12h,WT_TNF12h,1,TRUE,WT_TNF
